Symbols Asc,
Financial Instrument,Company Name,Sector,Industry,
AA,ALCOA CORP,Basic Materials,Mining,
AAUC,ALLIED GOLD CORP,Basic Materials,Mining,
ABAT,AMERICAN BATTERY TECHNOLOGY,Basic Materials,Mining,
AEC,ANFIELD ENERGY INC,Basic Materials,Mining,
AEM,AGNICO EAGLE MINES LTD,Basic Materials,Mining,
AG,FIRST MAJESTIC SILVER CORP,Basic Materials,Mining,
AGI,ALAMOS GOLD INC-CLASS A,Basic Materials,Mining,
ALB,ALBEMARLE CORP,Basic Materials,Chemicals,
ALB PRA,ALBEMARLE CORP PFD,Basic Materials,Chemicals,
ALM,ALMONTY INDUSTRIES INC,Basic Materials,Mining,
APD,AIR PRODUCTS & CHEMICALS INC,Basic Materials,Chemicals,
ARIS,ARIS MINING CORP,Basic Materials,Mining,
ASH,ASHLAND INC,Basic Materials,Chemicals,
ASIX,ADVANSIX INC,Basic Materials,Chemicals,
ASM,AVINO SILVER & GOLD MINES,Basic Materials,Mining,
ASTL,ALGOMA STEEL GROUP INC,Basic Materials,Iron/Steel,
ATCX,ATLAS CRITICAL MINERALS CORP,Basic Materials,Mining,
ATLX,ATLAS LITHIUM INC,Basic Materials,Mining,
AU,ANGLOGOLD ASHANTI PLC,Basic Materials,Mining,
AUGO,AURA MINERALS INC,Basic Materials,Mining,
AUST,AUSTIN GOLD CORP,Basic Materials,Mining,
AVD,AMERICAN VANGUARD CORP,Basic Materials,Chemicals,
AXTA,AXALTA COATING SYSTEMS LTD,Basic Materials,Chemicals,
B,BARRICK MINING CORP,Basic Materials,Mining,
BAK,BRASKEM SA-CLASS A- ADR,Basic Materials,Chemicals,
BCPC,BALCHEM CORP,Basic Materials,Chemicals,
BGIN,BGIN BLOCKCHAIN LTD CL A,Basic Materials,Mining,
BGL,BLUE GOLD LTD-CL A,Basic Materials,Mining,
BHP,BHP GROUP LTD-SPON ADR,Basic Materials,Mining,
BMM,BLUE MOON METALS INC,Basic Materials,Mining,
BTG,B2GOLD CORP,Basic Materials,Mining,
BVN,CIA DE MINAS BUENAVENTUR-ADR,Basic Materials,Mining,
CBT,CABOT CORP,Basic Materials,Chemicals,
CC,CHEMOURS CO/THE,Basic Materials,Chemicals,
CCJ,CAMECO CORP,Basic Materials,Mining,
CDE,COEUR MINING INC,Basic Materials,Mining,
CDXS,CODEXIS INC,Basic Materials,Chemicals,
CE,CELANESE CORP,Basic Materials,Chemicals,
CENX,CENTURY ALUMINUM COMPANY,Basic Materials,Mining,
CF,CF INDUSTRIES HOLDINGS INC,Basic Materials,Chemicals,
CGAU,CENTERRA GOLD INC,Basic Materials,Mining,
CHNR,CHINA NATURAL RESOURCES INC,Basic Materials,Mining,
CITR,CITROTECH INC,Basic Materials,Chemicals,
CLF,CLEVELAND-CLIFFS INC,Basic Materials,Iron/Steel,
CLMT,CALUMET INC,Basic Materials,Chemicals,
CMC,COMMERCIAL METALS CO,Basic Materials,Iron/Steel,
CMCL,CALEDONIA MINING CORP PLC,Basic Materials,Mining,
CMP,COMPASS MINERALS INTERNATION,Basic Materials,Mining,
CNEY,CN ENERGY GROUP INC-A,Basic Materials,Chemicals,
CNL,COLLECTIVE MINING LTD,Basic Materials,Mining,
