Symbols Asc,
Financial Instrument,Company Name,Sector,Industry,
ACDC,PROFRAC HOLDING CORP-A,Energy,Oil&Gas Services,
AESI,ATLAS ENERGY SOLUTIONS INC,Energy,Oil&Gas Services,
AGIG,ABUNDIA GLOBAL IMPACT GROUP,Energy,Oil&Gas,
ALTO,ALTO INGREDIENTS INC,Energy,Energy-Alternate Sources,
AM,ANTERO MIDSTREAM CORP,Energy,Pipelines,
AMPY,AMPLIFY ENERGY CORP,Energy,Oil&Gas,
AMR,ALPHA METALLURGICAL RESOURCE,Energy,Coal,
AMTX,AEMETIS INC,Energy,Energy-Alternate Sources,
ANNA,ALEANNA INC,Energy,Oil&Gas,
APA,APA CORP,Energy,Oil&Gas,
APC,ARKO PETROLEUM CORP,Energy,Oil&Gas,
AR,ANTERO RESOURCES CORP,Energy,Oil&Gas,
AREC,AMERICAN RESOURCES CORP,Energy,Coal,
ARLP,ALLIANCE RESOURCE PARTNERS,Energy,Coal,
AROC,ARCHROCK INC,Energy,Oil&Gas Services,
ARRY,ARRAY TECHNOLOGIES INC,Energy,Energy-Alternate Sources,
ASPI,ASP ISOTOPES INC,Energy,Energy-Alternate Sources,
ASTI,ASCENT SOLAR TECHNOLOGIES,Energy,Energy-Alternate Sources,
BATL,BATTALION OIL CORP,Energy,Oil&Gas,
BEEM,BEAM GLOBAL,Energy,Energy-Alternate Sources,
BESS,BIMERGEN ENERGY CORP,Energy,Energy-Alternate Sources,
BKR,BAKER HUGHES CO,Energy,Oil&Gas Services,
BKV,BKV CORPORATION,Energy,Oil&Gas,
BLDP,BALLARD POWER SYSTEMS INC,Energy,Energy-Alternate Sources,
BNRG,BRENMILLER ENERGY LTD,Energy,Energy-Alternate Sources,
BOOM,DMC GLOBAL INC,Energy,Oil&Gas Services,
BORR,BORR DRILLING LTD,Energy,Oil&Gas,
BP,BP PLC-SPONS ADR,Energy,Oil&Gas,
BRN,BARNWELL INDUSTRIES INC,Energy,Oil&Gas,
BSM,BLACK STONE MINERALS LP,Energy,Oil&Gas,
BTE,BAYTEX ENERGY CORP,Energy,Oil&Gas,
BTU,PEABODY ENERGY CORP,Energy,Coal,
CAPL,CROSSAMERICA PARTNERS LP,Energy,Oil&Gas Services,
CDLR,CADELER A/S-ADR,Energy,Energy-Alternate Sources,
CETY,CLEAN ENERGY TECHNOLOGIES IN,Energy,Energy-Alternate Sources,
CHRD,CHORD ENERGY CORP,Energy,Oil&Gas,
CLB,CORE LABORATORIES INC,Energy,Oil&Gas Services,
CNQ,CANADIAN NATURAL RESOURCES,Energy,Oil&Gas,
CNR,CORE NATURAL RESOURCES INC,Energy,Coal,
CNX,CNX RESOURCES CORP,Energy,Oil&Gas,
COP,CONOCOPHILLIPS,Energy,Oil&Gas,
CQP,CHENIERE ENERGY PARTNERS LP,Energy,Pipelines,
CRC,CALIFORNIA RESOURCES CORP,Energy,Oil&Gas,
CRGY,CRESCENT ENERGY INC-A,Energy,Oil&Gas,
CRK,COMSTOCK RESOURCES INC,Energy,Oil&Gas,
CRT,CROSS TIMBERS ROYALTY TRUST,Energy,Oil&Gas,
CSAN,COSAN SA -ADR,Energy,Oil&Gas,
CSIQ,CANADIAN SOLAR INC,Energy,Energy-Alternate Sources,
CTRA,COTERRA ENERGY INC,Energy,Oil&Gas,
CVE,CENOVUS ENERGY INC,Energy,Oil&Gas,
