Symbols Asc,
Financial Instrument,Company Name,Sector,Industry,
AAOI,APPLIED OPTOELECTRONICS INC,Industrial,Electronics,
AAON,AAON INC,Industrial,Building Materials,
ACA,ARCOSA INC,Industrial,Engineering&Construction,
ACHR,ARCHER AVIATION INC-A,Industrial,Aerospace/Defense,
ACM,AECOM,Industrial,Engineering&Construction,
ACNT,ASCENT INDUSTRIES CO,Industrial,Metal Fabricate/Hardware,
ADUR,ADURO CLEAN TECHNOLOGIES INC,Industrial,Environmental Control,
AEBI,AEBI SCHMIDT HOLDING AG,Industrial,Machinery-Diversified,
AEHL,ANTELOPE ENTERPRISE HOLDINGS,Industrial,Miscellaneous Manufactur,
AEIS,ADVANCED ENERGY INDUSTRIES,Industrial,Electronics,
AGCO,AGCO CORP,Industrial,Machinery-Diversified,
AGX,ARGAN INC,Industrial,Engineering&Construction,
AIN,ALBANY INTL CORP-CL A,Industrial,Machinery-Diversified,
AIR,AAR CORP,Industrial,Aerospace/Defense,
AIRI,AIR INDUSTRIES GROUP,Industrial,Aerospace/Defense,
AIRJ,AIRJOULE TECHNOLOGIES CORP,Industrial,Building Materials,
AIRO,AIRO GROUP HOLDINGS INC,Industrial,Aerospace/Defense,
AIRT,AIR T INC,Industrial,Transportation,
AIRTP,AIR T FUNDING,Industrial,Transportation,
AIT,APPLIED INDUSTRIAL TECH INC,Industrial,Machinery-Diversified,
ALG,ALAMO GROUP INC,Industrial,Machinery-Diversified,
ALLE,ALLEGION PLC,Industrial,Electronics,
ALNT,ALLIENT INC,Industrial,Electronics,
AMBP,ARDAGH METAL PACKAGING SA,Industrial,Packaging&Containers,
AMCR,AMCOR PLC,Industrial,Packaging&Containers,
AME,AMETEK INC,Industrial,Electrical Compo&Equip,
AMPX,AMPRIUS TECHNOLOGIES INC,Industrial,Aerospace/Defense,
AMRZ,AMRIZE LTD,Industrial,Building Materials,
AMSC,AMERICAN SUPERCONDUCTOR CORP,Industrial,Electrical Compo&Equip,
AMWD,AMERICAN WOODMARK CORP,Industrial,Building Materials,
AOS,SMITH (A.O.) CORP,Industrial,Miscellaneous Manufactur,
AP,AMPCO-PITTSBURGH CORP,Industrial,Metal Fabricate/Hardware,
APH,AMPHENOL CORP-CL A,Industrial,Electronics,
APOG,APOGEE ENTERPRISES INC,Industrial,Building Materials,
APWC,ASIA PACIFIC WIRE & CABLE,Industrial,Electrical Compo&Equip,
AQMS,AQUA METALS INC,Industrial,Environmental Control,
ARCB,ARCBEST CORP,Industrial,Transportation,
AREB,AMERICAN REBEL HOLDINGS INC,Industrial,Aerospace/Defense,
ARQ,ARQ INC,Industrial,Environmental Control,
ARTW,ART'S-WAY MANUFACTURING CO,Industrial,Machinery-Diversified,
ARW,ARROW ELECTRONICS INC,Industrial,Electronics,
ASC,ARDMORE SHIPPING CORP,Industrial,Transportation,
ASLE,AERSALE CORP,Industrial,Aerospace/Defense,
ASPN,ASPEN AEROGELS INC,Industrial,Building Materials,
ASR,GRUPO AEROPORTUARIO SUR-ADR,Industrial,Engineering&Construction,
ASTC,ASTROTECH CORP,Industrial,Aerospace/Defense,
ASTE,ASTEC INDUSTRIES INC,Industrial,Machinery-Constr&Mining,
ATI,ATI INC,Industrial,Aerospace/Defense,
ATKR,ATKORE INC,Industrial,Electronics,
ATMU,ATMUS FILTRATION TECHNOLOGIE,Industrial,Electronics,
