Symbols Asc,
Financial Instrument,Company Name,Sector,Industry,
AEE,AMEREN CORP,Utilities,Electric,
AEP,AMERICAN ELECTRIC POWER,Utilities,Electric,
AES,AES CORP,Utilities,Electric,
AMRC,AMERESCO INC-CL A,Utilities,Electric,
AQN,ALGONQUIN POWER & UTILITIES,Utilities,Electric,
AQNB,ALGONQUIN PWR & UTILITY,Utilities,Electric,
ARTNA,ARTESIAN RESOURCES CORP-CL A,Utilities,Water,
ATO,ATMOS ENERGY CORP,Utilities,Gas,
AVA,AVISTA CORP,Utilities,Electric,
AWK,AMERICAN WATER WORKS CO INC,Utilities,Water,
AWR,AMERICAN STATES WATER CO,Utilities,Water,
AXIA,AXIA ENERGIA-ADR PREF,Utilities,Electric,
AXIA PRC,AXIA ENERGIA-ADR PREF C,Utilities,Electric,
AXIA PR,AXIA ENERGIA-ADR PREF,Utilities,Electric,
BEP,BROOKFIELD RENEWABLE PARTNER,Utilities,Electric,
BEPC,BROOKFIELD RENEWABLE CORP,Utilities,Electric,
BEPH,BROOKFIELD BRP HOLDINGS,Utilities,Electric,
BEPI,BROOKFIELD BRP HOLDINGS,Utilities,Electric,
BEPJ,BROOKFIELD BRP HOLDINGS CANADA INC,Utilities,Electric,
BEP PRA,BROOKFIELD RENEWABLE PAR,Utilities,Electric,
BIP,BROOKFIELD INFRASTRUCTURE PA,Utilities,Electric,
BIPC,BROOKFIELD INFRASTRUCTURE-A,Utilities,Gas,
BIPH,BROOKFIELD INFRASTRUCTURE FINANCE ULC,Utilities,Electric,
BIPI,BIP BERMUDA HOLDINGS I,Utilities,Electric,
BIPJ,BROOKFIELD INFRA FIN ULC,Utilities,Electric,
BIP PRA,BROOKFIELD INFRASTRUCTURE PARTNERS LP,Utilities,Electric,
BIP PRB,BROOKFIELD INFRASTRUCTUR,Utilities,Electric,
BKH,BLACK HILLS CORP,Utilities,Electric,
CEG,CONSTELLATION ENERGY,Utilities,Electric,
CEPU,CENTRAL PUERTO-SPONSORED ADR,Utilities,Electric,
CIG,CIA ENERGETICA DE-SPON ADR,Utilities,Electric,
CIG C,CIA ENERGETICA DE-SPON ADR,Utilities,Electric,
CMS,CMS ENERGY CORP,Utilities,Electric,
CMSA,CMS 5 5/8 03/15/78 PRD,Utilities,Electric,
CMSC,CMS ENERGY CORP,Utilities,Electric,
CMSD,CMS ENERGY CORP,Utilities,Electric,
CMS PRB,CONSUMERS PWR CO: CMS PRB,Utilities,Electric,
CMS PRC,CMS ENERGY CORP,Utilities,Electric,
CNP,CENTERPOINT ENERGY INC,Utilities,Electric,
CPK,CHESAPEAKE UTILITIES CORP,Utilities,Gas,
CWCO,CONSOLIDATED WATER CO-ORD SH,Utilities,Water,
CWEN,CLEARWAY ENERGY INC-C,Utilities,Electric,
CWEN A,CLEARWAY ENERGY INC-A,Utilities,Electric,
CWT,CALIFORNIA WATER SERVICE GRP,Utilities,Water,
D,DOMINION ENERGY INC,Utilities,Electric,
DTB,DTE ENERGY CO,Utilities,Electric,
DTE,DTE ENERGY COMPANY,Utilities,Electric,
DTG,DTE ENERGY CO JR SUB NT SER E,Utilities,Electric,
DTK,DTE ENERGY CO,Utilities,Electric,
DTW,DTE 5 1/4 12/01/77 PFD,Utilities,Electric,
